athlete_id,gender,apto_genero,esforco_genero_hr,best_pred_marathon_s,target_s_gender,v_pred_mps,v_needed_mps,esforco_extra_pct_genero,hr_p80,hr_p90,hr_needed_bpm,num_runs,total_km,longest_run_km,median_pace_s_per_km,best_pace_s_per_km,avg_hr_bpm,mean_elev_gain_per_km,share_runs_ge_15k,slope_speed_mps_per_week,weeks_speed_goal,weeks_long_run,weeks_to_target_genero_est_hr
14019837,M,0,Moderado,11893.001820836716,10800,3.5478847675003067,3.9069444444444446,10.120387229969605,149.24,153.14000000000001,152.8182177706534,234,2805.6876,67.968,323.1941315620803,258.6095384033672,142.7022727272727,18.67912878112303,0.23931623931623933,0.01,35.90237745666812,0.0,24.0
14474051,F,0,Alto,13883.917251070527,13500,3.039127879903385,3.1255555555555556,2.8438314894113064,153.4,154.35000000000002,161.28727991864633,354,3792.2049,44.0935,389.3223785404549,164.87720892417323,145.31041666666667,27.35727702899176,0.1497175141242938,0.01,8.64190337487958,0.0,13.0
14588097,F,1,Já atinge,8340.900526937392,13500,5.0588062840132135,3.1255555555555556,-38.21555165231562,159.8,162.6,158.41992179641102,513,5895.3647,42.822300000000006,359.77951926482206,187.0102255351682,151.4992805755396,7.8104582741081305,0.16569200779727095,0.01,0.0,0.0,0.0
15002603,F,1,Já atinge,12656.969629428679,13500,3.3337363709787646,3.1255555555555556,-6.24466941163942,163.34,167.31,162.51165646095546,236,1677.014,20.0289,379.85600722185904,275.1486682324722,154.67471264367816,10.475881537065286,0.0211864406779661,0.01,0.0,5.0,0.0
15355766,M,0,Moderado,10890.476971268903,10800,3.874485948716317,3.9069444444444446,0.8377497339713307,158.4,167.6,161.12257496473,210,2373.1938,35.128699999999995,305.8167776729916,238.61703806301176,152.6060606060606,20.781657191250037,0.20476190476190476,0.01,3.2455250203107227,0.0,4.0
15515123,M,1,Já atinge,10275.237105426422,10800,4.106474582247502,3.9069444444444446,-4.858915690496089,153.98000000000002,162.77999999999997,161.01150417518926,457,6072.8471,177.026,344.04806143936577,208.77316443818907,146.8696485623003,30.110308556920526,0.1575492341356674,0.01,0.0,0.0,0.0
15532293,F,0,Alto,13668.690184004212,13500,3.0869819589135696,3.1255555555555556,1.2495569185497144,172.8,174.9,175.02385797292254,175,1900.7405,23.2619,354.2949911664996,296.3833989115523,168.38584905660377,9.858420968038509,0.08571428571428572,0.01,3.8569739668019207,4.0,6.0
15655281,,1,Já atinge,11776.367367651499,13500,3.5830234131371816,3.1255555555555556,-12.767649128507417,164.92000000000002,175.1,157.58166373419286,344,3478.7454,43.571400000000004,354.15906678023043,229.32422542083435,154.08375634517768,19.952250601610572,0.11627906976744186,0.01,0.0,0.0,0.0
16021442,M,0,Moderado,11573.420349519618,10800,3.645853924397674,3.9069444444444446,7.161299532589055,167.5,171.4,165.9367410038476,288,3640.9135,42.3356,309.34741516711614,245.78729212456972,158.96455223880596,5.891570892854225,0.1840277777777778,0.01,26.106441360540984,0.0,24.0
16378210,M,1,Já atinge,9940.799619564752,10800,4.244628361379994,3.9069444444444446,-7.955559078104148,156.6,160.3,156.79279795501947,573,5907.1045,43.351,348.22859177496883,216.36968866261992,148.45380333951763,19.818356015201694,0.15706806282722513,0.01,0.0,0.0,0.0
17199625,M,0,Moderado,11658.265260652744,10800,3.6193206327540284,3.9069444444444446,7.946900561599492,157.92000000000002,161.86,162.17656826677268,227,2725.8445,76.5517,349.6829702320278,230.01547189272821,148.93475177304964,21.443042697409922,0.15859030837004406,0.01,28.759505218519767,0.0,24.0
17639804,M,1,Já atinge,10597.239810803321,10800,3.981697192224002,3.9069444444444446,-1.8774091592285027,156.3,161.2,154.89564834132273,728,9720.645,218.95,333.31279434319265,221.78065508621245,148.15073529411765,30.46618820047435,0.22527472527472528,0.01,0.0,0.0,0.0
17666737,M,0,Baixo,11109.51333896965,10800,3.7980961643017723,3.9069444444444446,2.865864249718977,168.46,172.1,161.75535086534725,346,4320.4963,135.813,356.43128512438795,233.5706834777087,149.56,29.96294661796146,0.1907514450867052,0.01,10.883739640303192,0.0,11.0
1776170,M,1,Já atinge,10574.049794861165,10800,3.99042947769228,3.9069444444444446,-2.0921315290632867,165.16000000000003,174.82,166.34801790782663,647,7373.8665,73.8689,340.932197645783,210.911971482325,154.48995815899582,24.834311822705224,0.19783616692426584,0.01,0.0,0.0,0.0
18042525,M,0,Moderado,12312.338449247185,10800,3.4270500420316123,3.9069444444444446,14.003133789325783,154.52,165.21,166.75652086269105,214,2421.1778,20.5148,349.93456727889105,214.00397236131704,143.73732057416268,16.597087582745885,0.12149532710280374,0.01,47.984641777105516,5.0,24.0
18223349,M,1,Já atinge,10330.51890632274,10800,4.084499567023179,3.9069444444444446,-4.347047163678316,163.34,170.53,155.8265108537084,476,5629.1842,41.7117,314.82533216050507,202.16564911876512,150.82249388753056,23.877562933541956,0.18907563025210083,0.01,0.0,0.0,0.0
18736169,M,1,Já atinge,10344.058267634771,10800,4.079153356282101,3.9069444444444446,-4.221682707085441,158.78,165.66000000000003,156.32094917614077,654,6985.5422,32.0,340.8045693942678,180.71915685058897,148.56440329218108,30.063349985918055,0.18960244648318042,0.01,0.0,0.0,0.0
18845906,F,1,Já atinge,6853.4035476518675,13500,6.1567948985664165,3.1255555555555556,-49.23404779517135,151.2,157.5,147.64772951563208,433,6490.4279,117.685,340.4940923737916,172.61500648831674,147.30434782608697,32.85407422829549,0.3533487297921478,0.01,0.0,0.0,0.0
19023831,M,1,Já atinge,10418.644790044375,10800,4.0499509149519906,3.9069444444444446,-3.5310667588483913,147.4,151.5,145.92859905957602,758,8233.638,78.9932,311.45027361690245,229.10965442627125,138.0355430183357,9.51514992522139,0.19920844327176782,0.01,0.0,0.0,0.0
19048091,M,0,Alto,12866.407858244707,10800,3.2794701104521358,3.9069444444444446,19.13340609485841,154.34,158.29000000000002,162.3210283211152,235,2367.8758,23.5678,340.8130081300813,243.24018554135083,144.50531914893617,10.228999341941838,0.1574468085106383,0.01,62.74115928330255,4.0,24.0
19741163,M,1,Já atinge,7288.890702903068,10800,5.788946730013978,3.9069444444444446,-32.510271269416045,166.38,172.57999999999998,159.35135749090756,425,5248.7939,99.9835,313.55625301786574,181.92001680277244,155.29912023460412,29.657575238380005,0.21176470588235294,0.01,0.0,0.0,0.0
19905281,F,1,Já atinge,10953.075143484553,13500,3.852342784765768,3.1255555555555556,-18.866110048262563,167.98000000000002,173.14000000000001,161.66277238881398,170,1928.7466,42.790800000000004,330.32613142957354,238.17340695418594,157.43882352941176,27.022004860565925,0.18823529411764706,0.01,0.0,0.0,0.0
20032449,F,1,Já atinge,12558.776259518554,13500,3.359801873054275,3.1255555555555556,-6.97202770726997,,,,264,3835.2561,42.6661,336.4935269057046,246.25950453765023,,9.223217192718892,0.39015151515151514,0.01,0.0,0.0,0.0
2013538,M,0,Moderado,12193.596538436768,10800,3.4604228430055506,3.9069444444444446,12.903671652192298,154.66,158.17999999999998,161.17782560455692,153,1696.2281,24.771099999999997,331.42893721894154,201.09689213893967,147.35537190082644,27.198641503462888,0.1568627450980392,0.01,44.64769537435196,3.0,24.0
20136629,M,1,Já atinge,9264.321365316322,10800,4.554569982639984,3.9069444444444446,-14.219246617441456,162.82,167.34,160.53988410658891,410,4841.0637,74.0,380.219595285654,208.26427387552152,145.40144927536232,28.837216085382227,0.17804878048780487,0.01,0.0,0.0,0.0
20181492,F,1,Já atinge,13264.334038061696,13500,3.18108695686662,3.1255555555555556,-1.7456737921355898,,,,692,7415.385,51.4508,328.7214273235835,249.06375490682666,,12.196318869485534,0.17052023121387283,0.01,0.0,0.0,0.0
20263706,M,0,Alto,11203.94533091971,10800,3.766084067150325,3.9069444444444446,3.7402345455528825,158.3,162.5,175.77807921632757,79,1246.6121,75.466,338.3116504287965,262.7735168057749,149.37692307692308,33.004011432265095,0.3291139240506329,0.01,14.084629266485301,0.0,22.0
20557028,F,0,Alto,16283.989997755176,13500,2.591195401484328,3.1255555555555556,20.622148131519815,,,,171,1007.9373,20.215400000000002,380.0,300.0,172.2,10.94304179436558,0.005847953216374269,0.01,53.43067233988879,5.0,24.0
20653961,M,1,Já atinge,9369.703865145277,10800,4.503344033845382,3.9069444444444446,-13.243482730136316,135.54,153.79,135.95544456077698,621,6971.1364,78.0331,322.1877332914228,184.14450577019568,122.92311733800351,24.791194732612027,0.18679549114331723,0.01,0.0,0.0,0.0
2081128,M,0,Moderado,11134.744221165804,10800,3.789489831278962,3.9069444444444446,3.0994835293129976,149.28,152.0,151.08584583517487,746,9166.3753,33.006,324.42579623031247,203.64105042693734,143.13629343629344,20.276760869697316,0.15281501340482573,0.01,11.744286887859449,0.0,15.0
21299972,F,0,Moderado,15213.441818820078,13500,2.7735341221604353,3.1255555555555556,12.692161620889467,179.1,182.95,170.44801506683476,232,1820.2304,29.3014,383.2183937639978,296.73321234119777,165.50865800865802,10.353249786400667,0.03017241379310345,0.01,35.198623477164325,1.0,24.0
2138770,M,1,Já atinge,6440.555685573588,10800,6.551453331040048,3.9069444444444446,-40.365225133577894,156.44,158.66,155.35849815890273,542,7197.3297,153.534,324.5373752107247,152.944520080128,146.41724137931035,41.004124071181565,0.23616236162361623,0.01,0.0,0.0,0.0
22353493,M,1,Já atinge,9609.624180253091,10800,4.390910529748594,3.9069444444444446,-11.021998330989897,169.12,175.68,161.13701256402308,293,2642.409,21.249,291.3708296917999,152.08872949458723,155.74666666666667,8.631063548451431,0.10238907849829351,0.01,0.0,5.0,0.0
22538702,M,1,Já atinge,6543.828455040174,10800,6.4480602280306805,3.9069444444444446,-39.40899578666505,151.06000000000003,165.17999999999998,149.48024477344404,751,10361.4727,71.3744,322.841807514318,153.5246430474908,140.74418604651163,16.408401095338505,0.36617842876165113,0.01,0.0,0.0,0.0
22559703,M,1,Já atinge,9421.86705311605,10800,4.47841173751704,3.9069444444444446,-12.760490248925462,177.9,196.36,170.60223956105236,187,2715.5673,84.5,308.57019810508183,203.66598778004075,164.55555555555554,39.189895974958894,0.3315508021390374,0.01,0.0,0.0,0.0
22835898,F,1,Já atinge,12507.106741156273,13500,3.3736819292628106,3.1255555555555556,-7.354764880323899,154.26,164.22000000000003,151.03597197094822,522,5691.623,43.411300000000004,357.8396395235967,253.28061429144458,147.1404958677686,12.387503529309654,0.16666666666666666,0.01,0.0,0.0,0.0
22843389,F,0,Baixo,13579.788745867,13500,3.1071911934448924,3.1255555555555556,0.5910277471629614,167.28,170.9,164.75371289532254,288,3497.6064,53.782300000000006,363.00421592411783,289.50756546698005,158.5974910394265,24.67687616308113,0.18055555555555555,0.01,1.8362525858077472,0.0,2.0
22866236,M,0,Moderado,12227.091985557825,10800,3.4509432046343584,3.9069444444444446,13.213814681090971,159.86,165.3,157.7783254430247,254,3319.3107,106.862,357.43805154684935,244.32386553093454,151.0268292682927,41.30565421308707,0.23228346456692914,0.01,45.595564424566156,0.0,24.0
22891135,M,0,Moderado,12198.661067989988,10800,3.4589861760092826,3.9069444444444446,12.950565444351744,160.8,165.2,157.02031294256625,269,2915.227,40.112,316.0180122225796,169.81541802388708,149.978125,19.081807351537293,0.14869888475836432,0.01,44.79134770874532,0.0,24.0
22972731,F,1,Já atinge,10147.549929659212,13500,4.158146576512292,3.1255555555555556,-24.83296348400583,159.22,161.24,163.96045388921192,228,2975.9899,36.6338,500.01257678768377,221.76459820611385,149.35882352941175,59.666633949261715,0.2807017543859649,0.01,0.0,0.0,0.0
23729907,M,1,Já atinge,6895.692893123069,10800,6.119037006720557,3.9069444444444446,-36.15099173034196,153.57999999999998,158.2,151.5167302785887,850,8434.8156,61.7349,391.0053522247989,167.19878059250115,143.66214605067066,27.840229251721876,0.1411764705882353,0.01,0.0,0.0,0.0
24281078,M,0,Alto,,10800,,3.9069444444444446,,,,,6,25.4659,4.5243,569.7045844009554,545.7945651421051,,6.91120282416879,0.0,0.01,390.65537890655384,13.0,24.0
24944587,M,0,Alto,12661.250343436835,10800,3.332609249123051,3.9069444444444446,17.233799476266995,154.5,158.3,171.11683496292358,140,1486.2103,18.0243,346.58535226846084,275.2760240567308,148.52272727272728,6.049211205170628,0.10714285714285714,0.01,57.427776754463935,6.0,24.0
25039796,F,0,Moderado,15322.197680244637,13500,2.7538477756623165,3.1255555555555556,13.497760594404722,175.7,177.0,152.16657476118817,145,966.0978,14.260299999999999,415.3576650789744,313.6062064141425,166.7173611111111,8.98790991967894,0.0,0.01,37.16706128319559,8.0,24.0
25191153,M,0,Alto,12907.05334876271,10800,3.2691427593769786,3.9069444444444446,19.50975322928436,148.98,154.66000000000003,143.4611654570825,448,4697.0901,106.295,384.30146534612976,283.30206378986867,143.69398734177216,33.80307735634026,0.12946428571428573,0.01,63.773791127633835,0.0,24.0
25262730,M,0,Moderado,11298.905996874055,10800,3.734432343421003,3.9069444444444446,4.619499971056061,173.26,179.95000000000002,173.49128085344287,246,2801.793,91.5,349.62064643893046,230.83983478659937,161.40348837209302,29.22632043123814,0.14227642276422764,0.01,17.249485153828758,0.0,21.0
25277048,F,1,Já atinge,11650.054344170097,13500,3.6218715169440525,3.1255555555555556,-13.703301154295572,158.69,164.83999999999997,153.49181505599884,250,1759.8396,23.124,364.3366031546779,244.0944881889764,139.7,25.429817581102277,0.012,0.01,0.0,4.0,0.0
25372889,M,1,Já atinge,10110.817742676198,10800,4.173252952815224,3.9069444444444446,-6.3813171974426055,171.4,178.9,170.12478215617628,325,3704.6093,82.3,318.2008076869517,221.02102102102103,158.528125,25.632311617854004,0.16615384615384615,0.01,0.0,0.0,0.0
26363316,M,0,Moderado,11904.51465534177,10800,3.5444536145844756,3.9069444444444446,10.226987549460837,,,,72,490.1943,26.4272,276.7560947247614,227.38442383932374,,39.46802318998813,0.05555555555555555,0.01,36.24545844015288,2.0,24.0
26367918,M,0,Alto,11307.155652379679,10800,3.7317077165307913,3.9069444444444446,4.6958856701822125,159.5,162.9,164.32988731253897,252,3604.891,60.5132,352.161265667575,232.2086341535288,151.3978260869565,33.21515130415871,0.3253968253968254,0.01,17.5219205993054,0.0,24.0
26534495,F,1,Já atinge,13182.954030235707,13500,3.2007242006020684,3.1255555555555556,-2.348488664920685,170.23999999999998,174.78,171.41063969685484,320,3217.8115,73.096,406.84776878181447,273.7085582112568,156.30489130434782,34.46817813908615,0.15625,0.01,0.0,0.0,0.0
26583329,M,0,Moderado,11985.810164839526,10800,3.520412839824494,3.9069444444444446,10.979723748514132,145.54,150.97,151.84022057239306,251,2780.7287,30.868,396.51754159124215,260.57526232241446,139.60533333333333,42.7192699525128,0.13545816733067728,0.01,38.64929553244183,0.0,24.0
26677270,F,1,Já atinge,12923.976685297686,13500,3.2648619714705167,3.1255555555555556,-4.266839368165279,165.36,167.94,163.6354746097537,247,2344.3975,21.0058,349.8295841854124,280.86218158066623,156.40164835164833,16.592194796317603,0.06072874493927125,0.01,0.0,5.0,0.0
2683270,M,0,Moderado,11412.036665955724,10800,3.6974118849333624,3.9069444444444446,5.667006166256713,,,,151,1354.9784,22.505,304.7404063205418,244.5997458703939,,11.787198969371024,0.12582781456953643,0.01,20.951160835024716,4.0,24.0
